model size;average;RMS;
17;-0,00480269242558524;0,0984083801120942;
37;0,00578331370434364;0,102086276325815;
57;-0,000763211002121466;0,0921324381079293;
77;0,00655324812130179;0,0921469079027906;
97;0,00563378863640869;0,0892866627620594;
117;0,000233774394853719;0,0932411935671609;
137;0,00347544726199182;0,0876872336922603;
157;0,00551843495197921;0,090297436229078;
177;0,00248324631918456;0,0883617659092901;
197;0,00428325945820784;0,0934128986552628;
217;0,0081395682436064;0,0901079734408502;
237;0,00629630624682543;0,0874881554600665;
257;0,00331188374320814;0,0913360841321341;
277;0,00968568044491017;0,0940089252204874;
297;0,0056631341132413;0,0950307211955139;
317;0,000745590418861824;0,0876372948332964;
337;0,00333502318937739;0,0880029467241015;
357;-0,00160045954258859;0,0878305476812418;
377;0,00563358162877356;0,088514271563457;
397;0,001675150180851;0,0895227764527908;
417;0,00210328782350967;0,0889277909116464;
437;0,00125600501433233;0,0873811153573525;
457;0,00360866886068793;0,0893264998541618;
477;0,0017751415570889;0,0869646017717439;
